ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
1,-67,0,-81,-72,-79,-54,-70,-63,-59,-69,-70,-79,0,-69,-62,-56,-70,-71,-70
1,-67,0,-81,-72,-79,-54,-70,-63,-59,-69,-70,-79,0,-69,-62,-56,-70,-71,-70
1,-65,-75,-86,-74,-77,-55,-74,-60,-53,-73,-73,-78,0,-67,-63,-68,0,-72,-70
1,-65,-75,-86,-74,-77,-55,-74,-60,-53,-73,-73,-78,0,-67,-63,-68,0,-72,-70
1,-65,-75,-86,-74,-77,-55,-74,-60,-53,-73,-73,-78,0,-67,-63,-68,0,-72,-70
1,-68,-73,-86,-75,-78,-56,-72,-60,-58,-72,-72,-78,0,-68,-61,-66,-76,-71,-70
1,-68,-73,-86,-75,-78,-56,-72,-60,-58,-72,-72,-78,0,-68,-61,-66,-76,-71,-70
1,-75,-73,-86,-78,-74,-57,-72,-64,-58,-72,-72,-78,0,-68,-66,-67,-76,-71,-70
1,-75,-73,-86,-78,-74,-57,-72,-64,-58,-72,-72,-78,0,-68,-66,-67,-76,-71,-70
1,-75,-73,-86,-78,-74,-57,-72,-64,-58,-72,-72,-78,0,-68,-66,-67,-76,-71,-70
1,-66,-73,0,-74,-82,-57,-72,-62,-56,-73,0,-78,0,0,-58,-67,-76,-72,-70
1,-66,-73,0,-74,-82,-57,-72,-62,-56,-73,0,-78,0,0,-58,-67,-76,-72,-70
1,-64,-73,0,-75,-77,-65,-69,-65,-55,-72,-72,-78,-75,-61,-54,-66,-72,-70,-71
1,-64,-73,0,-75,-77,-65,-69,-65,-55,-72,-72,-78,-75,-61,-54,-66,-72,-70,-71
1,-64,-73,0,-76,-78,-56,-69,-63,-54,-78,0,0,-75,-59,-59,0,-72,-70,0
1,-64,-73,0,-76,-78,-56,-69,-63,-54,-78,0,0,-75,-59,-59,0,-72,-70,0
1,-65,-71,0,-76,-90,-61,-70,-63,-56,-72,0,0,-72,-62,-59,-67,-68,-70,-73
1,-65,-71,0,-76,-90,-61,-70,-63,-56,-72,0,0,-72,-62,-59,-67,-68,-70,-73
1,-66,-73,-77,-72,-78,-57,-71,-61,-55,-72,-74,-81,-78,-64,-60,-68,-75,-69,-69
1,-66,-73,-77,-72,-78,-57,-71,-61,-55,-72,-74,-81,-78,-64,-60,-68,-75,-69,-69
1,-66,-73,-77,-72,-78,-57,-71,-61,-55,-72,-74,-81,-78,-64,-60,-68,-75,-69,-69
1,-66,-73,-79,-77,-79,-53,-70,-62,-57,-69,-74,-80,-79,-72,-61,-66,-75,-72,-70
1,-66,-73,-79,-77,-79,-53,-70,-62,-57,-69,-74,-80,-79,-72,-61,-66,-75,-72,-70
1,-67,-73,-81,-72,-78,-55,-72,-59,-57,-71,-71,-80,-79,-72,-61,-65,-75,-72,-67
1,-67,-75,-81,-88,-79,-56,-72,-65,-57,-70,-71,-79,-80,-64,-83,-84,-76,-71,-69
1,-67,-75,-81,-88,-79,-56,-72,-65,-57,-70,-71,-79,-80,-64,-83,-84,-76,-71,-69
1,-70,-75,-80,-77,-79,-55,-70,-61,-58,-71,-70,-79,-80,-65,-61,-65,-76,-72,-67
1,-70,-75,-80,-77,-79,-55,-70,-61,-58,-71,-70,-79,-80,-65,-61,-65,-76,-72,-67
1,-65,-75,-81,-78,-79,-55,-71,-61,-57,-70,-70,-79,-80,-68,-63,-68,-76,-72,-68
1,-65,-75,-81,-78,-79,-55,-71,-61,-57,-70,-70,-79,-80,-68,-63,-68,-76,-72,-68
1,-67,-75,-80,-77,-77,-54,-69,-61,-58,-70,-67,-79,-80,-69,-59,-68,-76,-72,-70
