,ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
0,1,-51.0,-53.0,-58.0,-58.0,-63.0,-64.0,-65.0,-65.0,-66.0,-67.0,-69.0,-71.0,-71.0,-72.0,-74.0,-78.0,-78.0,-78.0,-81.0
1,1,-51.0,-53.0,-58.0,-58.0,-63.0,-64.0,-65.0,-65.0,-66.0,-67.0,-69.0,-71.0,-71.0,-72.0,-74.0,-78.0,-78.0,-78.0,-81.0
1,1,-67.0,,-81.0,-72.0,-79.0,-54.0,-70.0,-63.0,-59.0,-69.0,-70.0,-79.0,,-69.0,-62.0,-56.0,-70.0,-71.0,-70.0
2,1,-65.0,-75.0,-86.0,-74.0,-77.0,-55.0,-74.0,-60.0,-53.0,-73.0,-73.0,-78.0,,-67.0,-63.0,-68.0,,-72.0,-70.0
2,1,-51.0,-53.0,-58.0,-58.0,-63.0,-64.0,-65.0,-65.0,-66.0,-67.0,-69.0,-71.0,-71.0,-72.0,-74.0,-78.0,-78.0,-78.0,-81.0
3,1,-65.0,-75.0,-86.0,-74.0,-77.0,-55.0,-74.0,-60.0,-53.0,-73.0,-73.0,-78.0,,-67.0,-63.0,-68.0,,-72.0,-70.0
3,1,-51.0,-53.0,-58.0,-58.0,-63.0,-64.0,-65.0,-65.0,-66.0,-67.0,-69.0,-71.0,-71.0,-72.0,-74.0,-78.0,-78.0,-78.0,-81.0
4,1,-51.0,-53.0,-58.0,-58.0,-63.0,-64.0,-65.0,-65.0,-66.0,-67.0,-69.0,-71.0,-71.0,-72.0,-74.0,-78.0,-78.0,-78.0,-81.0
4,1,-65.0,-75.0,-86.0,-74.0,-77.0,-55.0,-74.0,-60.0,-53.0,-73.0,-73.0,-78.0,,-67.0,-63.0,-68.0,,-72.0,-70.0
5,1,-51.0,-53.0,-58.0,-58.0,-63.0,-64.0,-65.0,-65.0,-66.0,-67.0,-69.0,-71.0,-71.0,-72.0,-74.0,-78.0,-78.0,-78.0,-81.0
5,1,-68.0,-73.0,-86.0,-75.0,-78.0,-56.0,-72.0,-60.0,-58.0,-72.0,-72.0,-78.0,,-68.0,-61.0,-66.0,-76.0,-71.0,-70.0
6,1,-51.0,-53.0,-58.0,-58.0,-63.0,-64.0,-65.0,-65.0,-66.0,-67.0,-69.0,-71.0,-71.0,-72.0,-74.0,-78.0,-78.0,-78.0,-81.0
6,1,-68.0,-73.0,-86.0,-75.0,-78.0,-56.0,-72.0,-60.0,-58.0,-72.0,-72.0,-78.0,,-68.0,-61.0,-66.0,-76.0,-71.0,-70.0
7,1,-51.0,-53.0,-58.0,-58.0,-63.0,-64.0,-65.0,-65.0,-66.0,-67.0,-69.0,-71.0,-71.0,-72.0,-74.0,-78.0,-78.0,-78.0,-81.0
7,1,-75.0,-73.0,-86.0,-78.0,-74.0,-57.0,-72.0,-64.0,-58.0,-72.0,-72.0,-78.0,,-68.0,-66.0,-67.0,-76.0,-71.0,-70.0
8,1,-63.0,-52.0,-58.0,-61.0,-66.0,-65.0,-64.0,-42.0,-68.0,-72.0,-70.0,-70.0,-74.0,,-77.0,,-78.0,-72.0,
8,1,-75.0,-73.0,-86.0,-78.0,-74.0,-57.0,-72.0,-64.0,-58.0,-72.0,-72.0,-78.0,,-68.0,-66.0,-67.0,-76.0,-71.0,-70.0
9,1,-75.0,-73.0,-86.0,-78.0,-74.0,-57.0,-72.0,-64.0,-58.0,-72.0,-72.0,-78.0,,-68.0,-66.0,-67.0,-76.0,-71.0,-70.0
9,1,-63.0,-52.0,-58.0,-61.0,-66.0,-65.0,-64.0,-42.0,-68.0,-72.0,-70.0,-70.0,-74.0,,-77.0,,-78.0,-72.0,
10,1,-66.0,-73.0,,-74.0,-82.0,-57.0,-72.0,-62.0,-56.0,-73.0,,-78.0,,,-58.0,-67.0,-76.0,-72.0,-70.0
10,1,-63.0,-52.0,-58.0,-61.0,-66.0,-65.0,-64.0,-42.0,-68.0,-72.0,-70.0,-70.0,-74.0,,-77.0,,-78.0,-72.0,
11,1,-66.0,-73.0,,-74.0,-82.0,-57.0,-72.0,-62.0,-56.0,-73.0,,-78.0,,,-58.0,-67.0,-76.0,-72.0,-70.0
11,1,-63.0,-52.0,-58.0,-61.0,-66.0,-65.0,-64.0,-42.0,-68.0,-72.0,-70.0,-70.0,-74.0,,-77.0,,-78.0,-72.0,
12,1,-64.0,-73.0,,-75.0,-77.0,-65.0,-69.0,-65.0,-55.0,-72.0,-72.0,-78.0,-75.0,-61.0,-54.0,-66.0,-72.0,-70.0,-71.0
12,1,-63.0,-52.0,-58.0,-61.0,-66.0,-65.0,-64.0,-42.0,-68.0,-72.0,-70.0,-70.0,-74.0,,-77.0,,-78.0,-72.0,
13,1,-63.0,-52.0,-58.0,-61.0,-66.0,-65.0,-64.0,-42.0,-68.0,-72.0,-70.0,-70.0,-74.0,,-77.0,,-78.0,-72.0,
13,1,-64.0,-73.0,,-75.0,-77.0,-65.0,-69.0,-65.0,-55.0,-72.0,-72.0,-78.0,-75.0,-61.0,-54.0,-66.0,-72.0,-70.0,-71.0
14,1,-64.0,-73.0,,-76.0,-78.0,-56.0,-69.0,-63.0,-54.0,-78.0,,,-75.0,-59.0,-59.0,,-72.0,-70.0,
14,1,-63.0,-52.0,-58.0,-61.0,-66.0,-65.0,-64.0,-42.0,-68.0,-72.0,-70.0,-70.0,-74.0,,-77.0,,-78.0,-72.0,
15,1,-64.0,-73.0,,-76.0,-78.0,-56.0,-69.0,-63.0,-54.0,-78.0,,,-75.0,-59.0,-59.0,,-72.0,-70.0,
15,1,-63.0,-52.0,-58.0,-61.0,-66.0,-65.0,-64.0,-42.0,-68.0,-72.0,-70.0,-70.0,-74.0,,-77.0,,-78.0,-72.0,
16,1,-65.0,-71.0,,-76.0,-90.0,-61.0,-70.0,-63.0,-56.0,-72.0,,,-72.0,-62.0,-59.0,-67.0,-68.0,-70.0,-73.0
16,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
17,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
17,1,-65.0,-71.0,,-76.0,-90.0,-61.0,-70.0,-63.0,-56.0,-72.0,,,-72.0,-62.0,-59.0,-67.0,-68.0,-70.0,-73.0
18,1,-66.0,-73.0,-77.0,-72.0,-78.0,-57.0,-71.0,-61.0,-55.0,-72.0,-74.0,-81.0,-78.0,-64.0,-60.0,-68.0,-75.0,-69.0,-69.0
18,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
19,1,-66.0,-73.0,-77.0,-72.0,-78.0,-57.0,-71.0,-61.0,-55.0,-72.0,-74.0,-81.0,-78.0,-64.0,-60.0,-68.0,-75.0,-69.0,-69.0
19,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
20,1,-66.0,-73.0,-77.0,-72.0,-78.0,-57.0,-71.0,-61.0,-55.0,-72.0,-74.0,-81.0,-78.0,-64.0,-60.0,-68.0,-75.0,-69.0,-69.0
20,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
21,1,-66.0,-73.0,-79.0,-77.0,-79.0,-53.0,-70.0,-62.0,-57.0,-69.0,-74.0,-80.0,-79.0,-72.0,-61.0,-66.0,-75.0,-72.0,-70.0
21,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
22,1,-66.0,-73.0,-79.0,-77.0,-79.0,-53.0,-70.0,-62.0,-57.0,-69.0,-74.0,-80.0,-79.0,-72.0,-61.0,-66.0,-75.0,-72.0,-70.0
22,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
23,1,-67.0,-73.0,-81.0,-72.0,-78.0,-55.0,-72.0,-59.0,-57.0,-71.0,-71.0,-80.0,-79.0,-72.0,-61.0,-65.0,-75.0,-72.0,-67.0
23,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
24,1,-69.0,-54.0,-62.0,-61.0,-68.0,-69.0,-70.0,-72.0,-67.0,-72.0,-74.0,-66.0,-76.0,-72.0,-77.0,-81.0,,-71.0,
24,1,-67.0,-75.0,-81.0,-88.0,-79.0,-56.0,-72.0,-65.0,-57.0,-70.0,-71.0,-79.0,-80.0,-64.0,-83.0,-84.0,-76.0,-71.0,-69.0
